"Duns","Lat","Lon"
96141098,34.36,-98.99
192583,42.15,-83.23
202215,25.82,-100.04
202271,20.75,-100.44
202409,25.75,-100.17
248971,19.39,-99.10
254235,25.99,-98.19
257519,25.50,-100.98
259242,20.83,-100.43
259689,24.08,-104.59
5356878,43.41,-83.88
46736054,37.04,-93.29
50476923,32.55,-116.95
62616218,28.71,-100.46
78439732,32.99,-85.05
78762081,35.70,-81.16
78809058,26.04,-97.73
79514058,36.56,-87.24
79703300,41.26,-82.60
79777903,33.06,-80.19
951597128,25.45,-100.89
811854488,19.30,-99.61
816637623,20.83,-100.42
202576,20.55,-100.27
951631057,20.50,-100.67
4545208,40.13,-84.22
7127046,42.05,-87.80
615591617,25.90,-80.29
246553,37.47,-121.92
299909,41.06,-83.60
202360,33.18,-87.26
951611335,25.88,-97.54
812803016,21.96,-100.87
951642338,25.53,-103.26
118895765,37.28,-85.89
123495884,33.05,-80.18
23765,25.51,-100.96
23767,19.30,-99.62
104992,26.14,-98.26
132233,42.34,-83.44
145425,41.46,-81.77
147819,25.38,-101.00
154863,35.69,-81.20
156109,42.12,-84.36
161109,28.71,-106.12
161521,26.15,-98.26
161711,32.97,-97.25
162321,32.57,-117.00
162784,31.72,-106.29
164509,42.38,-83.50
166991,42.43,-83.03
167734,42.67,-82.95
181669,42.19,-83.39
182220,43.34,-79.81
187815,42.47,-83.28
195578,31.35,-110.94
197384,42.94,-85.35
198002,28.65,-106.12
202261,25.78,-100.13
202266,42.54,-83.03
202279,26.11,-98.20
202289,27.61,-99.51
202345,20.56,-100.26
202377,42.52,-83.53
202418,42.69,-83.26
202434,42.34,-83.44
202488,25.55,-100.93
202495,25.36,-101.02
202540,31.70,-106.26
217372,31.80,-106.39
234781,27.61,-99.48
236455,20.97,-101.43
238006,32.97,-97.25
240002,26.11,-98.20
241018,42.30,-83.40
243147,42.55,-83.04
244954,42.31,-83.17
245928,42.05,-86.51
247569,31.81,-106.39
248484,21.98,-100.88
248575,20.82,-100.42
251868,28.65,-105.97
253625,22.90,-102.67
254144,19.08,-98.19
254243,28.71,-106.12
256115,43.53,-80.31
258285,20.97,-101.42
258970,21.06,-101.76
259556,22.02,-100.88
270272,42.69,-83.25
288977,20.55,-100.26
288993,28.72,-106.12
301192,40.05,-86.71
782581,42.60,-82.89
782595,42.24,-83.45
782602,20.55,-100.27
782628,42.99,-82.40
1527464,40.53,-74.52
2024482,42.53,-83.04
2103174,41.42,-78.56
5030812,41.91,-79.63
5075122,42.81,-86.03
5079744,40.74,-86.36
5126065,42.20,-88.07
5245873,41.58,-85.81
5320304,42.45,-83.00
5340591,42.24,-83.32
5346754,42.35,-83.45
5346762,44.97,-84.67
5349444,42.37,-83.37
5354907,43.06,-83.27
6016810,42.97,-85.61
6022289,43.05,-86.22
6045306,39.52,-87.11
6380257,36.84,-87.48
6383483,37.99,-87.57
8970758,41.07,-84.95
11987224,40.30,-84.16
15542195,44.71,-85.62
17027202,42.62,-83.27
18106265,42.57,-83.04
18213707,42.66,-85.65
18829486,41.56,-85.82
19883003,42.38,-83.32
20239591,36.79,-87.38
20837233,42.66,-82.84
21836754,42.54,-83.12
26064985,36.37,-85.34
32417823,25.93,-97.44
37738192,42.64,-83.18
39116822,42.30,-83.40
40584963,42.68,-83.28
41511288,36.83,-87.45
42439265,42.65,-82.85
44387184,34.40,-86.89
44958007,42.47,-82.98
49946627,37.80,-87.63
50150481,43.01,-85.74
50614114,42.63,-83.23
52203171,40.53,-74.54
53585626,42.69,-83.26
54585575,42.37,-83.44
55355502,42.55,-83.12
57534620,41.64,-85.00
57856247,42.20,-88.06
58961707,40.73,-86.38
59897736,42.66,-82.84
60414450,42.53,-83.18
60440935,31.35,-110.95
61657250,34.13,-89.63
62419759,42.08,-90.11
64856377,41.47,-81.76
65133167,40.71,-99.02
65602807,43.04,-83.28
67350017,42.25,-83.44
68091693,41.93,-84.64
78315113,35.40,-85.37
78443695,39.29,-84.42
78587549,42.46,-82.99
78750746,39.49,-86.01
78849132,42.73,-83.37
79215669,42.75,-86.10
79365559,42.71,-83.25
79475199,26.11,-98.20
79488648,42.54,-83.18
79489395,42.44,-83.03
79554480,36.15,-84.08
79606261,42.88,-78.80
79612501,42.68,-83.01
79877724,42.24,-83.44
79891460,31.81,-106.38
79911014,42.37,-83.40
79912566,31.76,-106.38
79948011,42.56,-83.04
79996721,42.27,-84.45
80010898,42.83,-86.00
80013648,42.51,-83.77
80037706,31.82,-106.38
80203455,26.15,-98.28
80316510,42.85,-85.52
80387346,38.12,-89.69
255984,20.78,-101.33
823841069,21.10,-101.76
202328,20.83,-100.42
80399938,42.76,-86.08
80413373,26.15,-98.27
80462172,32.97,-97.25
80587458,35.76,-84.01
80681453,42.86,-83.58
80685974,35.42,-86.74
80779273,31.81,-106.39
80869833,37.43,-79.91
80891626,33.05,-80.18
81029227,42.26,-83.41
81099446,27.68,-99.45
81232109,26.11,-98.20
81259198,42.61,-83.03
81348326,39.01,-84.64
82826355,30.88,-84.17
84571256,41.88,-84.01
84668367,31.60,-90.42
88328356,42.38,-83.49
89290118,38.71,-93.27
89965016,42.94,-85.35
90136750,31.73,-106.28
90262135,41.45,-78.55
91950469,42.37,-83.43
92041409,40.72,-85.17
95394375,42.65,-83.24
101065386,42.11,-83.24
101180995,36.14,-84.08
101908965,43.02,-85.76
103312278,41.68,-87.99
104001383,41.14,-83.16
105169275,32.95,-93.45
106751873,31.67,-106.32
106868961,42.51,-82.96
